TICKER,ISIN,INDUSTRY,TR_ANALYTICCO2,TR_ANALYTICTOTALWASTE,TR_ENVPRODUCTS,TR_ANALYTICENVRND,TR_ANALYTICWATERUSE,TR_ANALYTICENERGYUSE,TR_POLICYHUMANRIGHTS,TR_POLICYRESPONSIBLEMARKETING,TR_PRODUCTQUALITYMONITORING,TR_POLICYDATAPRIVACY,TR_WOMENEMPLOYEES,TR_AVGTRAININGHOURS,TR_TRADEUNIONREP,TR_ANALYTICLOSTDAYS
AAA,TXQZUHLG5NY8,Uranium,0.72,0.69,0.56,,0.98,,0.90,,0.53,0.99,,,0.92,0.95
AAA,XWRAB50IC615,Oil and gas related equipment and services,,0.58,,0.91,0.11,,,,,0.39,,,0.74,0.39
AAB,RFCZ0ZTS4UN8,Communications and networking,0.17,0.12,,0.17,,0.55,0.68,,,0.58,0.95,,0.79,0.08
AAB,EOV5KVM2O478,Renewable energy,0.87,0.83,,,,,,0.06,0.83,0.10,,,0.55,0.52
AACR,VA027WKEBL70,Media and publishing,0.36,0.98,,0.85,0.11,0.42,0.11,0.34,,,,0.24,0.74,
AADA,JPGM4BVFBRF1,Food and tobacco,,,0.68,0.34,,,,0.01,,,,,,0.16
AADP,FAX4JU7EVVP0,Transport infrastructure,,0.12,,,0.55,,0.96,0.80,0.86,0.34,,,,0.83
AAE,NGDBXI0AMXY2,Investment holding companies,,,,,0.06,0.36,,0.60,0.74,,0.97,,,
AAF,MDL14YYSBTI8,Construction materials,,0.14,0.35,,,0.53,0.08,0.49,0.35,0.65,0.29,0.69,0.62,
AAG,ZHYF230RVFM4,Insurance,,0.67,,0.23,0.56,,0.75,0.95,0.17,0.38,0.86,0.92,0.58,
AAHJ,SAOJSU849MX2,Investment holding companies,0.72,0.71,,,0.95,,,0.69,0.12,0.55,0.44,,0.59,0.60
AAI,DF02O3F8FJB7,Household goods,0.55,,0.46,,0.98,,0.07,0.63,0.99,0.29,0.33,,,0.90
AAI,RR4ZRTHP0TR0,Healthcare providers and services,,0.13,0.72,0.63,0.28,0.70,0.62,0.10,,0.41,,0.65,,
AALQ,RC8A8RMSE741,Paper and forest products,0.33,0.63,,,0.55,,0.02,0.24,,0.77,0.77,0.54,0.39,
AAQ,KC4RAWUGJDS1,Specialty retailers,,0.52,,0.70,0.49,,,,0.01,0.78,0.80,,0.20,0.90
AAQF,QPLG0MRGW0O7,Food and tobacco,0.23,,0.90,0.36,0.81,0.99,,0.42,0.27,0.16,0.69,,0.86,0.57
AAR,TCJ6RRWKF0L3,Banking services,,,0.47,0.37,,0.77,0.59,0.65,,0.24,0.88,0.28,0.66,0.13
AAU,RRCCFH8MSL66,Office equipment,0.78,,0.42,0.76,0.64,0.78,,0.31,0.70,0.45,0.50,,,
AAWC,JCHY4KPMD8J8,Coal,0.73,,0.53,0.01,,,0.21,0.47,,,0.42,,0.82,
AAWV,ICTIR98QFBN3,Hotels and entertainment services,0.53,0.48,0.80,0.25,0.17,0.95,0.13,0.70,0.12,,0.47,0.16,,0.36
AAZ,MLGSHY14T446,Chemicals,,0.09,0.83,,,0.44,0.71,0.59,,0.29,0.94,0.45,0.96,
ABB,ENXINNJ19666,Collective investments,,,0.01,0.92,0.64,0.88,0.08,,,0.31,0.07,,,0.01
ABC,FVYSYSTKCXU7,Oil and gas,,0.06,,,0.78,0.97,,0.73,,0.93,0.69,0.24,,0.68
ABCK,CGKM3HF9SXL9,Professional and commercial services,0.07,0.99,,0.28,0.87,,,0.01,,0.40,,0.85,0.05,
ABFO,YYRWPZLH3QG0,Industrial conglomerates,,0.09,0.60,,,,0.23,,0.25,0.67,0.40,,0.68,0.07
ABHJ,ZA5E6VZXK172,Collective investments,0.87,0.24,,0.70,0.65,0.30,,0.29,0.18,,,,,
ABK,STY2V6NTT391,Software and IT services,,0.18,,,0.93,,0.54,0.31,,0.06,0.90,,,
ABL,ODWHR3VEP1X7,Automobiles and auto parts,,,0.17,,0.74,,0.07,0.50,0.58,0.22,,0.38,0.85,0.36
ABN,UUWGRJJ7L7E1,Media and publishing,0.97,0.44,0.59,0.77,,,0.79,0.26,0.18,1.00,,,0.18,
ABNP,OTOY0BBKWAA1,Homebuilding and construction supplies,,0.86,0.44,,0.77,0.61,,,0.78,,,,,
ABOS,GUCS8TMK28Y3,Media and publishing,,0.20,,0.70,,,,0.74,,0.04,0.23,,,0.40
ABP,BAE8V7V7K989,Collective investments,,0.98,,0.90,0.11,0.71,0.13,,0.37,0.43,,0.10,0.79,
ABPQ,BMK3Z499KKU1,Insurance,,0.72,0.12,,,0.28,,0.64,0.04,0.55,,0.87,0.45,
ABR,NAVC1SELKG39,Oil and gas,,0.71,,0.48,,0.44,,0.52,0.85,,,0.53,0.13,0.19
ABTT,DY8TZ7EZQ6D0,Professional and commercial services,,0.59,,0.60,0.88,0.95,,,0.87,,,,0.13,
ABV,LHHBL65JN4C1,Investment holding companies,0.66,,0.58,0.66,,0.06,0.91,,0.11,0.05,0.97,0.68,,
ABVY,PX6HPVIZI2K7,Banking services,,0.28,0.37,0.34,,0.75,,0.09,0.46,0.58,0.98,0.38,,0.54
ABWS,SGJR7J0NFHG5,Leisure products,0.72,0.57,0.73,0.30,0.91,0.89,0.27,,,0.56,0.70,,,
ABY,JCCWLZHPM1L1,Transport infrastructure,,,,,,0.92,,0.78,0.72,0.86,,0.59,,
ABY,QVR2JYFI1UN4,Homebuilding and construction supplies,,0.90,,,0.07,0.99,,0.04,,0.09,0.30,0.43,0.05,
ACA,TWXG7BY5R002,Semiconductors,0.31,0.63,0.36,0.48,0.08,,0.73,0.23,0.17,0.76,,0.55,1.00,0.65
ACAP,UR00Y6AT89K4,Office equipment,0.68,0.22,0.23,,,,,0.53,0.57,0.82,0.48,,,
ACB,YIKPCOE50TA1,Healthcare providers and services,,0.63,0.87,,0.58,,0.34,,,0.22,,,0.43,
ACBL,VE8INK38VFA2,Collective investments,,0.05,,,0.82,,0.22,,,,0.67,,0.53,0.84
ACBP,ILYTS1DPFTF3,Textiles and apparel,,0.57,0.67,0.32,0.21,0.36,,0.94,,,0.78,0.01,,0.16
ACC,QL6ARQFK2ED8,Specialty retailers,,0.96,0.77,0.97,0.00,0.09,0.18,0.34,0.31,0.82,,0.87,0.25,0.00
ACC,GW0Z0JWC4SH0,Media and publishing,0.40,,0.30,0.14,0.45,,0.10,0.51,,0.18,,0.49,,
ACFN,YRVU2X2M0MG6,Media and publishing,0.41,,,,0.49,0.45,,,,0.81,0.19,0.10,,
ACHZ,WJGH9UC33KE4,Healthcare providers and services,,0.10,0.25,,,0.27,0.23,,0.30,0.33,,0.23,,0.95
