Ticker,ISIN,Industry,TR_AnalyticCO2,TR_AnalyticTotalWaste,TR_EnvProducts,TR_AnalyticEnvRND,TR_AnalyticWaterUse,TR_AnalyticEnergyUse,TR_PolicyHumanRights,TR_PolicyResponsibleMarketing,TR_ProductQualityMonitoring,TR_PolicyDataPrivacy,TR_WomenEmployees,TR_AvgTrainingHours,TR_TradeUnionRep,TR_AnalyticLostDays
AGO,ZEAMQ9EI1QA5,Aerospace and defense,,0.72,0.17,0.42,0.32,,,0.12,,0.23,0.73,,,
ALVJ,FYRZ508VWYZ9,Aerospace and defense,0.93,0.39,0.51,,,0.43,0.26,,0.18,0,,0.6,0.22,0.96
AMCM,OMB9YY6AYU59,Aerospace and defense,0.6,0.48,0.75,0.48,0.85,0.93,0.05,,0.52,,0.04,0.13,,
ANE,VLLT42ZM3HW4,Aerospace and defense,,0.34,,0.45,,,0.6,0.89,0.1,,0.26,,0.22,
AQG,UI5J0JQUM3I0,Aerospace and defense,,,0.68,0.15,0.94,,0.69,,,0.07,0.51,,0.95,0.88
ASQ,AHX57SFUBBD9,Aerospace and defense,,,,,0.39,0.54,0.92,0.76,0.03,0.21,,0.81,,
BAV,YSIAGFOV06I2,Aerospace and defense,0.9,0.59,0.49,,0.13,0.04,,,,0.2,0.25,,,0.93
BBW,GGMZRIZEMD07,Aerospace and defense,0.63,,,0.79,,,,0.24,,0.75,,,0.54,0.63
BED,IMBNX1N1UA33,Aerospace and defense,,0.61,0.13,,,,,,0.85,,0.45,,0.3,
BER,DISPKDN9BJ37,Aerospace and defense,0.56,0.94,0.89,,,,0.8,0.77,0.18,,0.36,,0.06,0.3
BEYF,FJCFWIIBMXM0,Aerospace and defense,0.27,0.26,0.33,,0.22,,0.66,,0.61,0.61,0.28,0.27,,
BOIM,EUCNG1206WU6,Aerospace and defense,0.6,0.87,,0.44,,0.86,0.22,0.13,,0.74,,0.89,,0.71
BQUH,CG5OQ5GNZ4O1,Aerospace and defense,0.85,0.93,,,0.87,0.31,,,0.91,0.37,,0.89,0.13,
BSP,PM03C058FPD0,Aerospace and defense,0.76,0.74,,0.88,,0.12,0.8,,0.63,0.22,0.44,,,0.8
BVD,VPA6QHFXI065,Aerospace and defense,0.03,0.32,0.1,,,,0.16,0.6,,,0.12,,0.59,0.86
BXYD,FUJNGP8DK266,Aerospace and defense,0.05,,0.41,,0.98,,,,0.99,0.24,0.66,0.84,0.26,0.17
CAGP,OSNTZG9I3544,Aerospace and defense,0.29,0.38,,,,0.06,,0.79,0.17,,,0.64,,
CEG,IXDPLDLE1362,Aerospace and defense,0.06,,,,0.4,0.61,0.92,,,0.15,,0.93,,
CIL,JMVY0ZAQJY73,Aerospace and defense,0.96,0.31,0.86,0.16,0.98,0.37,,0.93,,,,,,0.36
