Ticker,ISIN,Industry,TR_WomenEmployees,TR_AvgTrainingHours,TR_TradeUnionRep,TR_AnalyticLostDays
LDB,LONQVOYZ5F48,Diversified industries,1,0.88,0.99,0.96
SBB,NTAAME2LMOS9,Personal and household,1,1,0.94,0.83
KDFD,VHSODRTB4WB0,Banking services,0.87,1,0.92,0.95
OXA,BNWZC6D8NQN8,Oil and gas related equipment and services,0.82,0.96,0.99,0.9
VPZQ,WT29L6MXDEN7,Healthcare equipment and supplies,0.95,0.78,0.98,0.95
RDHG,YHHCBTH6P976,Oil and gas related equipment and services,0.99,0.83,0.93,0.89
GGF,GTK6Q06FJ9O9,Aerospace and defense,0.97,0.92,0.82,0.91
TQN,WDLIE1MBKW62,Household goods,0.88,0.98,0.96,0.8
VUSC,SLTOAJEJTC10,Personal and household,1,0.86,0.98,0.78
MVM,RG8IE8NBGN47,Chemicals ,0.88,0.78,0.93,1
XPFO,KD09Y7FP8AW6,Beverages,0.98,0.98,0.88,0.74
NOSE,QMCQPG75RH58,Real estate operations,0.98,0.93,0.72,0.94
JTIM,JG4JNU080VK4,Investment holding companies,0.85,0.96,0.92,0.83
VGLZ,TIO42RZXO0N5,Media and publishing,0.97,0.99,0.75,0.84
NLCX,JB2NHAL603P7,Residential and commercial REITs,0.82,0.97,0.88,0.87
HAK,ENTQNGA7SFX7,Automobiles and auto parts ,0.9,0.94,0.98,0.71
QVIS,CJ9B6GSJ6ET0,Pharmaceuticals,0.99,0.71,0.93,0.89
BNZ,QGEJE15HIYD0,Renewable energy,0.98,0.81,0.76,0.97
DXM,KEN5S4YEK155,Investment holding companies,0.88,0.8,0.85,0.98
YOSK,ONNV6XQZKRS0,Specialty retailers,0.97,0.68,0.99,0.87
MSPF,VS2GT9D8OK75,Biotechnology and medical research,0.93,0.67,0.98,0.92
CYL,FNKLASVPRPX0,Freight and logistics services,0.98,0.79,0.91,0.82
ZTNC,JVQFHUUEJE20,Household goods,0.98,0.68,0.97,0.87
HRMW,PQS4QLXEH5S1,"Machinery, tools, heavy vehicles, trains and ships",0.91,0.96,0.68,0.95
WMXQ,BOGJJNX91WX3,Media and publishing,0.91,0.94,0.94,0.71
KCJ,GJ78LH4OJEU0,Diversified retail,0.86,0.99,0.99,0.65
CAA,GWI6O10YXCS6,Transport infrastructure,0.85,0.76,0.88,1
JTR,BDCGIPTQPBD6,Water and related utilities,0.88,0.72,0.88,1
OFWB,PPWM0IYU5D84,Coal ,0.92,0.92,0.91,0.72
SXQ,RM4UMFM62K44,Multiline utilities,0.71,0.86,0.99,0.91
JRT,MW27DPWLLY20,Containers and packaging ,0.94,0.58,0.99,0.95
UFNJ,XHYSOSKRYR51,Food and drug retailing,0.76,0.92,0.96,0.81
XCC,PMH1VP49WL33,Food and drug retailing,0.91,1,0.68,0.86
RUUQ,TUAMAQ2EE649,Food and tobacco,0.83,0.8,0.93,0.89
FLWM,LY0R2S2SDTD3,Multiline utilities,0.64,0.91,0.99,0.91
LKC,NY0TER9TUP97,Food and drug retailing,0.52,0.97,0.98,0.98
VGX,ICQ4U0X995C5,Healthcare equipment and supplies,0.85,0.99,0.67,0.94
QYTI,SEQJUTX4EVG2,Media and publishing,0.99,0.88,0.66,0.91
MUU,YA3ZMQEXQST7,Passenger transportation services,0.88,0.95,0.74,0.87
AKO,AMMM8LMJZXN7,Metals and mining ,0.74,0.87,0.96,0.87
NVPA,SBV2EITVQOH8,Passenger transportation services,0.86,0.97,0.98,0.62
HPOF,CAX1I5U1DO48,Electronic equipment and parts,0.88,0.95,0.88,0.72
SFS,QTZF14KHJ743,Diversified industries,0.83,0.95,0.89,0.75
JQAH,YOKOAAGKSL33,Renewable energy,0.99,0.78,0.81,0.84
CEG,IXDPLDLE1362,Aerospace and defense,0.98,0.91,0.92,0.6
UHLZ,JXZ6989JVDD9,Metals and mining ,0.91,0.58,0.99,0.93
WFTX,CL95A83V1TD3,Multiline utilities,0.89,0.93,0.79,0.8
IXXU,HF1XUX8420E7,Homebuilding and construction supplies,0.82,0.86,0.79,0.94
OZZ,KF5GHGLJD468,Coal ,0.72,0.97,0.97,0.74
KZS,QBRUDCTVZX32,"Machinery, tools, heavy vehicles, trains and ships",0.86,0.7,0.89,0.95
LQHA,UUO1LHIL8W04,Industrial conglomerates,0.85,0.85,0.93,0.77
QCNV,KF8J3OJCQRC9,Investment holding companies,0.83,0.94,0.74,0.89
SDNI,NYD1MZUDJ443,Residential and commercial REITs,0.97,0.8,0.89,0.73
UCMI,DB2MO5R9UFW8,Automobiles and auto parts ,0.86,0.7,0.95,0.88
WVLG,BFWA1TVIKFT4,Automobiles and auto parts ,0.99,0.91,0.79,0.7
NQPC,KVSP4FZQ66W4,Household goods,0.79,0.63,0.97,0.99
XXI,KT4MAA5HPTI3,"Machinery, tools, heavy vehicles, trains and ships",0.53,0.96,0.93,0.96
NNS,JY209LFERZ89,Media and publishing,0.9,0.83,0.7,0.95
VNNM,JUGLMWZFMV48,Metals and mining ,0.85,0.78,0.96,0.79
QIG,JSX6CCSA1FV9,Paper and forest products,0.86,0.63,0.94,0.95
JUJ,YC9FECJBE199,Automobiles and auto parts ,0.88,1,0.87,0.62
KMIC,HNVX5OXPUSG6,Healthcare providers and services,0.96,0.62,0.94,0.85
QUJ,CT53V3W4FUH5,Household goods,0.85,0.95,0.78,0.79
AETI,VKOHKYEJGPM5,"Machinery, tools, heavy vehicles, trains and ships",0.8,0.77,0.81,0.99
MKNZ,YFHVOBNLEH89,Paper and forest products,0.88,0.87,0.67,0.95
JRBG,YPRKCC5OM7H8,Automobiles and auto parts ,0.98,0.65,0.88,0.86
UBWR,SLZ0IDT4EMM7,Freight and logistics services,0.86,0.62,0.99,0.9
UCCH,LOOVEOR4RL58,Oil and gas related equipment and services,0.67,0.89,0.93,0.87
LFC,EZEWIIQXEA20,Pharmaceuticals,0.87,0.75,0.85,0.89
MXY,KNEDML2JPNM9,Biotechnology and medical research,0.96,0.97,0.53,0.9
LEL,DZDOZMHJMR69,Food and tobacco,0.44,0.99,0.99,0.94
TBVK,LZF4ESBTDWD3,Freight and logistics services,0.81,0.94,0.65,0.96
MNY,FYK2FKQVQ089,Healthcare providers and services,0.92,0.93,0.59,0.92
LSWD,EGF5OWPNMW87,Chemicals ,0.95,0.79,0.76,0.85
LFPV,ZYZBSW1OTU66,Diversified industries,0.89,0.92,0.6,0.94
FEUU,ARVRIBAGWNV4,Office equipment,0.85,0.53,0.99,0.98
IHF,YYB9663T5931,Passenger transportation services,0.83,0.73,0.94,0.85
EZD,CG7KUD5G7IJ6,Automobiles and auto parts ,0.82,0.71,1,0.82
COPZ,RBVGL78HBLO2,Software and IT services,0.63,0.98,0.84,0.9
WAO,GCKN75N7IO58,"Machinery, tools, heavy vehicles, trains and ships",0.94,0.79,0.86,0.75
JSV,NLR5NO1AXW95,Oil and gas related equipment and services,1,0.65,0.89,0.8
SDUO,TWDUGJ8G6O41,Chemicals ,0.4,0.97,1,0.96
JKF,PAM8GI9EDCM7,Diversified industries,0.88,0.96,0.66,0.83
MZKJ,OAYA6KSMZML3,Office equipment,0.87,0.84,0.86,0.76
FGB,DKZ79FYHQB70,Oil and gas,0.93,0.73,0.82,0.85
DJU,VKKDKMVG8SC4,Household goods,0.88,0.9,0.63,0.91
GJKI,XX2LZXWNF5P7,Freight and logistics services,0.97,0.54,0.83,0.98
VSFM,HMW4UXE5Q9D8,Beverages,0.83,0.95,0.7,0.84
PSQJ,XTV2SZUD0SS0,Aerospace and defense,0.77,1,0.91,0.63
ZDS,UL7AVK52UP77,Electronic equipment and parts,0.7,0.87,0.81,0.93
ZOOZ,MGTQIOLM9F11,Electronic equipment and parts,0.91,0.92,0.75,0.73
LCNS,MYM9ZCFIJJX2,Pharmaceuticals,0.73,0.93,0.81,0.84
VYGG,ZM8QIDIFSLO2,Food and drug retailing,0.94,0.67,0.73,0.97
HPUB,LM9LULGDHL37,Telecommunications services,0.77,0.98,0.7,0.85
BLZ,HJGEER5FCJK4,Freight and logistics services,0.81,0.72,0.8,0.97
IEAF,TOS1VJ7G6C55,Investment holding companies,0.92,0.92,0.91,0.55
OEPJ,MI31IOB0QW22,Paper and forest products,0.9,0.73,0.7,0.97
GIRC,ZKIQPF1UGQK0,Biotechnology and medical research,0.95,0.57,0.86,0.91
DIJI,HGPMPWKZ3K34,Healthcare equipment and supplies,0.98,0.85,0.59,0.87
MHX,JSMORLXA18K4,Healthcare equipment and supplies,0.96,0.68,0.87,0.78
UUWW,ACGRSR8D23Q8,Paper and forest products,0.57,0.84,0.96,0.92
GQXM,ZOS8MZ2POR77,Uranium,0.66,0.8,0.85,0.98
LUB,IGBJ7A3XLDX3,"Machinery, tools, heavy vehicles, trains and ships",0.97,0.79,0.76,0.76
YWBE,SQY2EP50AS48,Oil and gas related equipment and services,0.67,0.82,0.9,0.89
JUR,DS7I6F48NCL3,Communications and networking,0.85,0.76,0.9,0.77
PPYR,WFAE3UL7GOE9,Healthcare equipment and supplies,0.97,0.75,0.91,0.65
XVC,ZTOGVJQTUN87,Industrial conglomerates,0.84,0.7,0.97,0.77
FHGP,HE164A4MMGK4,Specialty retailers,0.71,0.69,0.94,0.94
RQVS,PPJ0HTIVMOA8,Freight and logistics services,0.75,0.74,0.8,0.98
EMOC,NQPF7WZ4R611,Residential and commercial REITs,0.81,0.9,0.94,0.62
ISB,FUXTTNUOKJ17,Automobiles and auto parts ,0.85,0.69,0.89,0.83
CWG,YTUYCYIADKO2,Beverages,0.94,0.62,0.86,0.84
